epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.106,3.27539,3.81353,3.21684,0.165,0.09131,0.05306,0.01629,2.94923,2.80646,2.35585,0.00333067,0.00333067,0.00333067
2,627.384,2.04195,1.7282,1.68126,0.46264,0.25525,0.25621,0.13424,1.86586,1.8851,1.60915,0.0066574,0.0066574,0.0066574
3,932.734,1.76003,1.39391,1.45454,0.50301,0.29223,0.30264,0.17173,1.68603,1.91695,1.49151,0.00997754,0.00997754,0.00997754
4,1233.3,1.61302,1.2342,1.36211,0.64841,0.39745,0.44238,0.25891,1.45176,1.15788,1.30904,0.0099703,0.0099703,0.0099703
5,1532.41,1.47646,1.07993,1.28035,0.69835,0.43593,0.49254,0.29829,1.33903,0.98493,1.24273,0.0099604,0.0099604,0.0099604
6,1834.2,1.39532,0.9895,1.22926,0.72896,0.45487,0.51686,0.31897,1.26251,0.89028,1.20141,0.0099505,0.0099505,0.0099505
7,2135.98,1.33639,0.9308,1.1934,0.74753,0.47071,0.53733,0.33566,1.2091,0.83083,1.16634,0.0099406,0.0099406,0.0099406
8,2437.26,1.29598,0.89038,1.1691,0.77287,0.49131,0.56571,0.36026,1.14858,0.77255,1.13011,0.0099307,0.0099307,0.0099307
9,2734.12,1.25978,0.85396,1.15006,0.7874,0.50089,0.57893,0.37309,1.10617,0.73092,1.10102,0.0099208,0.0099208,0.0099208
10,3030.66,1.23419,0.83082,1.1326,0.80097,0.51004,0.59372,0.38699,1.07521,0.69923,1.08525,0.0099109,0.0099109,0.0099109
11,3330.42,1.21632,0.81067,1.12489,0.80102,0.52289,0.60384,0.39727,1.04944,0.67963,1.07274,0.009901,0.009901,0.009901
12,3630.15,1.1972,0.79154,1.11335,0.80712,0.53097,0.61362,0.40509,1.02751,0.65921,1.05672,0.0098911,0.0098911,0.0098911
13,3927,1.17714,0.77484,1.10544,0.80714,0.54022,0.6217,0.41367,1.00556,0.64061,1.04512,0.0098812,0.0098812,0.0098812
14,4225.68,1.16265,0.76125,1.09649,0.81166,0.54266,0.62498,0.41888,0.9875,0.6274,1.03554,0.0098713,0.0098713,0.0098713
15,4527.33,1.15412,0.75387,1.09089,0.82575,0.54614,0.63123,0.42413,0.97343,0.61501,1.02898,0.0098614,0.0098614,0.0098614
16,4828.04,1.14262,0.74491,1.08711,0.82513,0.54987,0.63745,0.42933,0.9618,0.60423,1.02264,0.0098515,0.0098515,0.0098515
17,5126.16,1.13362,0.73252,1.08186,0.83662,0.55251,0.64295,0.43333,0.95449,0.59524,1.01929,0.0098416,0.0098416,0.0098416
18,5423.83,1.12365,0.72722,1.07637,0.83348,0.55676,0.64602,0.43727,0.94382,0.58766,1.01305,0.0098317,0.0098317,0.0098317
19,5722.8,1.11309,0.71572,1.06913,0.83021,0.56084,0.64965,0.44057,0.93478,0.58026,1.00963,0.0098218,0.0098218,0.0098218
20,6022.72,1.10594,0.71098,1.06442,0.82356,0.56739,0.6529,0.44352,0.92805,0.57285,1.00655,0.0098119,0.0098119,0.0098119
21,6320.23,1.10127,0.70686,1.0628,0.83203,0.56536,0.65496,0.44515,0.92213,0.56948,1.00317,0.009802,0.009802,0.009802
22,6617.18,1.09104,0.69636,1.05969,0.83297,0.56699,0.65666,0.44786,0.91622,0.56559,1.00072,0.0097921,0.0097921,0.0097921
23,6915.83,1.08581,0.69218,1.05654,0.83645,0.56765,0.6584,0.44931,0.91135,0.56125,0.99832,0.0097822,0.0097822,0.0097822
24,7214.46,1.08405,0.69098,1.05521,0.83421,0.571,0.66035,0.45115,0.90727,0.55801,0.99642,0.0097723,0.0097723,0.0097723
25,7512.77,1.07777,0.68387,1.052,0.83999,0.56943,0.6615,0.45264,0.90415,0.55541,0.99474,0.0097624,0.0097624,0.0097624
26,7810.31,1.07329,0.68199,1.05006,0.83311,0.57392,0.66257,0.45366,0.90067,0.55237,0.99341,0.0097525,0.0097525,0.0097525
27,8109.48,1.06495,0.67584,1.04713,0.83975,0.57305,0.66382,0.45504,0.89796,0.55004,0.9919,0.0097426,0.0097426,0.0097426
28,8409.09,1.06087,0.67102,1.04275,0.8392,0.57446,0.66469,0.45617,0.89594,0.54834,0.99067,0.0097327,0.0097327,0.0097327
29,8707.46,1.05775,0.66954,1.04252,0.83953,0.57549,0.66619,0.45684,0.89366,0.54645,0.9896,0.0097228,0.0097228,0.0097228
30,9005.07,1.05193,0.66575,1.04034,0.84058,0.57507,0.66617,0.45784,0.89209,0.54507,0.98879,0.0097129,0.0097129,0.0097129
31,9304.52,1.05464,0.66426,1.04204,0.84149,0.57638,0.66744,0.45875,0.89007,0.54334,0.98782,0.009703,0.009703,0.009703
32,9604.38,1.0453,0.66015,1.03708,0.84269,0.57747,0.66833,0.45961,0.88825,0.54223,0.98696,0.0096931,0.0096931,0.0096931
33,9901.66,1.0452,0.65835,1.036,0.84191,0.57895,0.66877,0.46048,0.88627,0.54122,0.98608,0.0096832,0.0096832,0.0096832
34,10198.3,1.03755,0.652,1.03226,0.84308,0.5792,0.66935,0.46134,0.8844,0.53971,0.98523,0.0096733,0.0096733,0.0096733
35,10497.1,1.03519,0.65028,1.03116,0.84187,0.5805,0.66993,0.46203,0.88302,0.53872,0.98428,0.0096634,0.0096634,0.0096634
36,10797,1.03169,0.64811,1.02842,0.8431,0.58116,0.6704,0.46307,0.88104,0.53748,0.98321,0.0096535,0.0096535,0.0096535
37,11094.2,1.0318,0.64742,1.02866,0.84464,0.58102,0.6712,0.46379,0.8795,0.5366,0.98226,0.0096436,0.0096436,0.0096436
38,11391.3,1.02579,0.64241,1.02697,0.84729,0.58136,0.67225,0.46425,0.87831,0.5354,0.98163,0.0096337,0.0096337,0.0096337
39,11690.3,1.02638,0.64263,1.02541,0.84602,0.5828,0.67285,0.46479,0.87703,0.53448,0.98094,0.0096238,0.0096238,0.0096238
40,11989.5,1.02335,0.64027,1.02428,0.84818,0.58267,0.67363,0.46552,0.87573,0.53327,0.98013,0.0096139,0.0096139,0.0096139
41,12285.9,1.02028,0.63788,1.02198,0.84785,0.58407,0.67421,0.46639,0.87402,0.53224,0.97912,0.009604,0.009604,0.009604
42,12582.1,1.0199,0.63541,1.02143,0.84791,0.58471,0.67483,0.46694,0.87276,0.53107,0.97821,0.0095941,0.0095941,0.0095941
43,12880.2,1.01543,0.63364,1.01923,0.84796,0.58514,0.67558,0.46775,0.87135,0.5299,0.9774,0.0095842,0.0095842,0.0095842
44,13179.1,1.0139,0.63233,1.01919,0.85081,0.58521,0.67635,0.46873,0.86964,0.52904,0.97646,0.0095743,0.0095743,0.0095743
45,13478,1.01233,0.63181,1.01789,0.8508,0.58603,0.67676,0.4694,0.86842,0.52812,0.97561,0.0095644,0.0095644,0.0095644
46,13773.9,1.00997,0.63076,1.0152,0.85198,0.58652,0.67775,0.47004,0.86662,0.52713,0.97461,0.0095545,0.0095545,0.0095545
47,14074.5,1.00835,0.62594,1.01443,0.85128,0.58809,0.6787,0.4711,0.86488,0.52581,0.97361,0.0095446,0.0095446,0.0095446
48,14375.7,1.00537,0.62512,1.01493,0.85082,0.58889,0.67929,0.47143,0.86337,0.52477,0.97271,0.0095347,0.0095347,0.0095347
49,14679.6,1.00372,0.6259,1.01043,0.8517,0.58917,0.6804,0.47232,0.86141,0.52363,0.97162,0.0095248,0.0095248,0.0095248
50,14983.4,1.00615,0.62326,1.01264,0.85131,0.59087,0.68131,0.4731,0.85981,0.52263,0.97079,0.0095149,0.0095149,0.0095149
51,15289.5,1.00488,0.62273,1.01217,0.85263,0.59042,0.68161,0.47378,0.85848,0.52156,0.96996,0.009505,0.009505,0.009505
